,Name,ERA,K/9,BB/9,HR/9
196,장시환,5.020100887440505,7.801508135887271,5.020100887440505,1.0175880177244268
197,이상화,5.400001029968458,4.200000801086579,6.000001144409398,1.2000002288818796
198,하준호,6.048000922851704,5.6160008569337245,5.832000889892714,0.2160000329589894
199,진명호,7.180852229479888,9.191490853734257,6.319149961942301,0.8617022675375865
200,정영일,6.557144286486879,6.557144286486879,4.242858067726804,2.314286218760075
201,이대은,5.829546465361589,4.602273525285465,3.9886370552474033,1.227272940076124
202,하재훈,7.615385732707351,6.923077938824865,5.538462351059891,1.3846155877649728
203,정수민,1.1489362168387642,6.319149192613204,2.872340542096911,0.0
204,김재윤,3.2637368109963907,8.604397047172302,2.22527509840663,1.0384617125897606
205,김선기,2.0454552547993243,4.5000015605585135,3.272728407678919,0.4090910509598648
206,김진영,3.33333380428368,9.333334651994305,3.6666671847120473,1.0000001412851038
207,송승준,6.202703821824738,9.12162326738932,5.108109029738019,0.7297298613911456
208,윤정현,8.890244936390031,3.621951640751495,3.2926833097740857,0.9878049929322258
